VSI_TrqFeedback_FR,wheel_speed_FR
0.51744,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
0.90552,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
1.03488,0.0
